## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[aligned_sorted_reads_rg.bam] OUTPUT=deduplicated_reads.bam METRICS_FILE=metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 09 18:39:54 EST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
sample_1	3	395803	43875	463	3	177412	0	0.448235	296302

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999999	152778	152778
2.0	1.262944	35064	35064
3.0	1.332084	13282	13282
4.0	1.350264	6251	6251
5.0	1.355045	3400	3400
6.0	1.356302	2004	2004
7.0	1.356632	1284	1284
8.0	1.356719	902	902
9.0	1.356742	618	618
10.0	1.356748	484	484
11.0	1.356749	342	342
12.0	1.35675	269	269
13.0	1.35675	219	219
14.0	1.35675	160	160
15.0	1.35675	157	157
16.0	1.35675	126	126
17.0	1.35675	96	96
18.0	1.35675	91	91
19.0	1.35675	67	67
20.0	1.35675	74	74
21.0	1.35675	65	65
22.0	1.35675	55	55
23.0	1.35675	43	43
24.0	1.35675	33	33
25.0	1.35675	38	38
26.0	1.35675	32	32
27.0	1.35675	32	32
28.0	1.35675	25	25
29.0	1.35675	26	26
30.0	1.35675	18	18
31.0	1.35675	27	27
32.0	1.35675	12	12
33.0	1.35675	12	12
34.0	1.35675	14	14
35.0	1.35675	17	17
36.0	1.35675	13	13
37.0	1.35675	10	10
38.0	1.35675	11	11
39.0	1.35675	13	13
40.0	1.35675	6	6
41.0	1.35675	12	12
42.0	1.35675	12	12
43.0	1.35675	7	7
44.0	1.35675	13	13
45.0	1.35675	7	7
46.0	1.35675	0	0
47.0	1.35675	1	1
48.0	1.35675	8	8
49.0	1.35675	12	12
50.0	1.35675	3	3
51.0	1.35675	4	4
52.0	1.35675	5	5
53.0	1.35675	7	7
54.0	1.35675	5	5
55.0	1.35675	3	3
56.0	1.35675	8	8
57.0	1.35675	3	3
58.0	1.35675	7	7
59.0	1.35675	1	1
60.0	1.35675	2	2
61.0	1.35675	3	3
62.0	1.35675	4	4
63.0	1.35675	3	3
64.0	1.35675	3	3
65.0	1.35675	2	2
66.0	1.35675	2	2
67.0	1.35675	3	3
68.0	1.35675	4	4
69.0	1.35675	3	3
70.0	1.35675	3	3
71.0	1.35675	1	1
72.0	1.35675	3	3
73.0	1.35675	3	3
74.0	1.35675	1	1
75.0	1.35675	1	1
76.0	1.35675	1	1
77.0	1.35675	1	1
78.0	1.35675	0	0
79.0	1.35675	2	2
80.0	1.35675	1	1
81.0	1.35675	0	0
82.0	1.35675	5	5
83.0	1.35675	1	1
84.0	1.35675	1	1
85.0	1.35675	1	1
86.0	1.35675	0	0
87.0	1.35675	3	3
88.0	1.35675	4	4
89.0	1.35675	0	0
90.0	1.35675	2	2
91.0	1.35675	2	2
92.0	1.35675	0	0
93.0	1.35675	1	1
94.0	1.35675	1	1
95.0	1.35675	0	0
96.0	1.35675	0	0
97.0	1.35675	1	1
98.0	1.35675	2	2
99.0	1.35675	0	0
100.0	1.35675	1	1
101.0	0	1	1
102.0	0	2	2
104.0	0	1	1
106.0	0	1	1
107.0	0	1	1
110.0	0	1	1
114.0	0	1	1
116.0	0	1	1
117.0	0	1	1
122.0	0	1	1
124.0	0	3	3
126.0	0	1	1
133.0	0	1	1
134.0	0	1	1
140.0	0	2	2
144.0	0	1	1
147.0	0	1	1
149.0	0	1	1
169.0	0	1	1
171.0	0	1	1
172.0	0	1	1
187.0	0	1	1
189.0	0	1	1
196.0	0	1	1
210.0	0	1	1
353.0	0	1	1
404.0	0	1	1
468.0	0	1	1

