"","entrezgene_id","ensembl_gene_id"
"1",7105,"ENSG00000000003"
"2",64102,"ENSG00000000005"
"3",8813,"ENSG00000000419"
"4",57147,"ENSG00000000457"
"5",55732,"ENSG00000000460"
"6",2268,"ENSG00000000938"
"7",3075,"ENSG00000000971"
"8",2519,"ENSG00000001036"
"9",2729,"ENSG00000001084"
"10",4800,"ENSG00000001167"
"11",90529,"ENSG00000001460"
"12",57185,"ENSG00000001461"
"13",81887,"ENSG00000001497"
"14",22875,"ENSG00000001561"
"15",6405,"ENSG00000001617"
"16",1080,"ENSG00000001626"
"17",54467,"ENSG00000001629"
"18",1595,"ENSG00000001630"
"19",889,"ENSG00000001631"
"20",5893,"ENSG00000002016"
"21",NA,"ENSG00000002079"
"22",572,"ENSG00000002330"
"23",51056,"ENSG00000002549"
"24",4267,"ENSG00000002586"
"25",9957,"ENSG00000002587"
"26",26,"ENSG00000002726"
"27",51384,"ENSG00000002745"
"28",23072,"ENSG00000002746"
"29",8379,"ENSG00000002822"
"30",3927,"ENSG00000002834"
"31",29916,"ENSG00000002919"
"32",55365,"ENSG00000002933"
"33",4074,"ENSG00000003056"
"34",90293,"ENSG00000003096"
"35",56603,"ENSG00000003137"
"36",3382,"ENSG00000003147"
"37",79007,"ENSG00000003249"
"38",57679,"ENSG00000003393"
"39",843,"ENSG00000003400"
"40",8837,"ENSG00000003402"
"41",7035,"ENSG00000003436"
"42",55471,"ENSG00000003509"
"43",10181,"ENSG00000003756"
"44",9108,"ENSG00000003987"
"45",6542,"ENSG00000003989"
"46",381,"ENSG00000004059"
"47",23098,"ENSG00000004139"
"48",26073,"ENSG00000004142"
"49",23129,"ENSG00000004399"
"50",204,"ENSG00000004455"
"51",952,"ENSG00000004468"
"52",2288,"ENSG00000004478"
"53",23028,"ENSG00000004487"
"54",10180,"ENSG00000004534"
"55",84254,"ENSG00000004660"
"56",5965,"ENSG00000004700"
"57",55610,"ENSG00000004766"
"58",126393,"ENSG00000004776"
"59",115703,"ENSG00000004777"
"60",4706,"ENSG00000004779"
"61",5166,"ENSG00000004799"
"62",85413,"ENSG00000004809"
"63",51364,"ENSG00000004838"
"64",340273,"ENSG00000004846"
"65",170302,"ENSG00000004848"
"66",10165,"ENSG00000004864"
"67",7982,"ENSG00000004866"
"68",93655,"ENSG00000004866"
"69",996,"ENSG00000004897"
"70",6521,"ENSG00000004939"
"71",799,"ENSG00000004948"
"72",3052,"ENSG00000004961"
"73",1856,"ENSG00000004975"
"74",64063,"ENSG00000005001"
"75",5976,"ENSG00000005007"
"76",8935,"ENSG00000005020"
"77",292,"ENSG00000005022"
"78",55013,"ENSG00000005059"
"79",3207,"ENSG00000005073"
"80",5439,"ENSG00000005075"
"81",56919,"ENSG00000005100"
"82",4222,"ENSG00000005102"
"83",221981,"ENSG00000005108"
"84",3980,"ENSG00000005156"
"85",79657,"ENSG00000005175"
"86",6296,"ENSG00000005187"
"87",81691,"ENSG00000005189"
"88",57019,"ENSG00000005194"
"89",56928,"ENSG00000005206"
"90",80256,"ENSG00000005238"
"91",51226,"ENSG00000005243"
"92",5577,"ENSG00000005249"
"93",10943,"ENSG00000005302"
"94",1387,"ENSG00000005339"
"95",9256,"ENSG00000005379"
"96",4353,"ENSG00000005381"
"97",5444,"ENSG00000005421"
"98",6936,"ENSG00000005436"
"99",84058,"ENSG00000005448"
"100",54677,"ENSG00000005469"
"101",5244,"ENSG00000005471"
"102",55904,"ENSG00000005483"
"103",57414,"ENSG00000005486"
"104",30812,"ENSG00000005513"
"105",25998,"ENSG00000005700"
"106",7748,"ENSG00000005801"
"107",23077,"ENSG00000005810"
"108",26224,"ENSG00000005812"
"109",3683,"ENSG00000005844"
"110",5164,"ENSG00000005882"
"111",3675,"ENSG00000005884"
"112",7543,"ENSG00000005889"
"113",3920,"ENSG00000005893"
"114",3674,"ENSG00000005961"
"115",51666,"ENSG00000005981"
"116",51573,"ENSG00000006007"
"117",55049,"ENSG00000006015"
"118",9244,"ENSG00000006016"
"119",114881,"ENSG00000006025"
"120",26022,"ENSG00000006042"
"121",51087,"ENSG00000006047"
"122",3883,"ENSG00000006059"
"123",9020,"ENSG00000006062"
"124",6833,"ENSG00000006071"
"125",10368,"ENSG00000006116"
"126",54972,"ENSG00000006118"
"127",163,"ENSG00000006125"
"128",6863,"ENSG00000006128"
"129",10127,"ENSG00000006194"
"130",6376,"ENSG00000006210"
"131",64847,"ENSG00000006282"
"132",8913,"ENSG00000006283"
"133",51330,"ENSG00000006327"
"134",1750,"ENSG00000006377"
"135",4293,"ENSG00000006432"
"136",5898,"ENSG00000006451"
"137",55971,"ENSG00000006453"
"138",80853,"ENSG00000006459"
"139",2115,"ENSG00000006468"
"140",55750,"ENSG00000006530"
"141",221,"ENSG00000006534"
"142",55001,"ENSG00000006555"
"143",57157,"ENSG00000006576"
"144",10344,"ENSG00000006606"
"145",9855,"ENSG00000006607"
"146",10083,"ENSG00000006611"
"147",79017,"ENSG00000006625"
"148",10926,"ENSG00000006634"
"149",6915,"ENSG00000006638"
"150",3475,"ENSG00000006652"
"151",56891,"ENSG00000006659"
"152",1352,"ENSG00000006695"
"153",9569,"ENSG00000006704"
"154",54623,"ENSG00000006712"
"155",27072,"ENSG00000006715"
"156",9912,"ENSG00000006740"
"157",60528,"ENSG00000006744"
"158",85477,"ENSG00000006747"
"159",414,"ENSG00000006756"
"160",8228,"ENSG00000006757"
"161",8735,"ENSG00000006788"
"162",79602,"ENSG00000006831"
"163",51265,"ENSG00000006837"
"164",151531,"ENSG00000007001"
"165",10942,"ENSG00000007038"
"166",57787,"ENSG00000007047"
"167",8842,"ENSG00000007062"
"168",115098,"ENSG00000007080"
